Index,Value
1,144.0
2,126.0
3,115.2
4,108.0
5,90.0
6,79.2
7,79.2
8,86.4
9,100.8
10,104.4
11,136.8
12,151.2
13,162.0
14,198.0
15,230.4
16,266.4
17,288.0
18,295.2
19,298.8
20,284.4
21,352.8
22,316.8
23,291.6
24,298.8
25,313.2
26,291.6
27,255.6
28,252.0
29,237.6
30,230.4
31,223.2
32,234.0
33,208.8
34,205.2
35,212.4
36,230.4
37,244.8
38,262.8
39,248.4
40,262.8
41,266.4
42,266.4
43,259.2
44,241.2
45,244.8
46,226.8
47,190.8
48,183.6
49,136.8
50,122.4
51,111.6
52,104.4
53,86.4
54,82.8
55,90.0
56,86.4
57,100.8
58,115.2
59,118.8
60,151.2
61,176.4
62,201.6
63,219.6
64,234.0
65,244.8
66,284.4
67,291.6
68,316.8
69,298.8
70,309.6
71,298.8
72,288.0
73,273.6
74,277.2
75,255.6
76,277.2
77,273.6
78,244.8
79,223.2
80,223.2
81,208.8
82,241.2
83,259.2
84,252.0
85,237.6
86,266.4
87,266.4
88,291.6
89,244.8
90,277.2
91,270.0
92,237.6
93,226.8
94,219.6
95,183.6
96,180.0
97,144.0
98,133.2
99,118.8
100,115.2
101,93.6
102,86.4
103,75.6
104,97.2
105,111.6
106,122.4
107,133.2
108,165.6
109,194.4
110,205.2
111,234.0
112,223.2
113,252.0
114,248.4
115,284.4
116,306.0
117,298.8
118,295.2
119,284.4
120,298.8
121,288.0
122,288.0
123,259.2
124,248.4
125,252.0
126,255.6
127,262.8
128,252.0
129,244.8
130,252.0
131,234.0
132,248.4
133,248.4
134,270.0
135,270.0
136,284.4
137,295.2
138,277.2
139,259.2
140,234.0
141,223.2
142,212.4
143,208.8
144,183.6
145,158.4
146,133.2
147,111.6
148,100.8
149,93.6
150,86.4
151,82.8
152,100.8
153,108.0
154,126.0
155,147.6
156,169.2
157,190.8
158,201.6
159,212.4
160,244.8
161,255.6
162,295.2
163,327.6
164,309.6
165,288.0
166,302.4
167,262.8
168,295.2
169,259.2
170,266.4
171,244.8
172,259.2
173,248.4
174,241.2
175,234.0
176,226.8
177,252.0
178,244.8
179,259.2
180,259.2
181,241.2
182,262.8
183,284.4
184,266.4
185,259.2
186,270.0
187,234.0
188,248.4
189,230.4
190,234.0
191,205.2
192,180.0
193,169.2
194,147.6
195,115.2
196,104.4
197,93.6
198,97.2
199,93.6
200,111.6
201,108.0
202,140.4
203,144.0
204,180.0
205,208.8
206,255.6
207,248.4
208,298.8
209,320.4
210,327.6
211,370.8
212,356.4
213,360.0
214,352.8
215,349.2
216,334.8
217,313.2
218,295.2
219,284.4
220,270.0
221,259.2
222,248.4
223,248.4
224,219.6
225,255.6
226,280.8
227,270.0
228,244.8
229,259.2
230,266.4
231,241.2
232,255.6
233,255.6
234,252.0
235,237.6
236,234.0
237,230.4
238,212.4
239,194.4
240,183.6
241,165.6
242,165.6
243,129.6
244,118.8
245,104.4
246,100.8
247,104.4
248,93.6
249,97.2
250,108.0
251,115.2
252,136.8
253,158.4
254,165.6
255,183.6
256,208.8
257,212.4
258,252.0
259,262.8
260,273.6
261,284.4
262,277.2
263,277.2
264,302.4
265,295.2
266,280.8
267,273.6
268,244.8
269,266.4
270,291.6
271,252.0
272,230.4
273,273.6
274,241.2
275,244.8
276,252.0
277,255.6
278,259.2
279,226.8
280,252.0
281,230.4
282,248.4
283,216.0
284,212.4
285,208.8
286,198.0
287,169.2
288,154.8
289,154.8
290,136.8
291,118.8
292,118.8
293,108.0
294,100.8
295,86.4
296,93.6
297,97.2
298,82.8
299,100.8
300,108.0
301,118.8
302,147.6
303,140.4
304,176.4
305,183.6
306,219.6
307,230.4
308,237.6
309,259.2
310,226.8
311,273.6
312,280.8
313,259.2
314,244.8
315,288.0
316,248.4
317,277.2
318,262.8
319,226.8
320,208.8
321,226.8
322,241.2
323,244.8
324,226.8
325,248.4
326,244.8
327,252.0
328,230.4
329,241.2
330,248.4
331,241.2
332,226.8
333,216.0
334,201.6
335,172.8
336,154.8
337,136.8
338,118.8
339,108.0
340,97.2
341,86.4
342,86.4
343,82.8
344,90.0
345,104.4
346,115.2
347,129.6
348,136.8
349,176.4
350,219.6
351,234.0
352,255.6
353,266.4
354,295.2
355,295.2
356,327.6
357,316.8
358,316.8
359,327.6
360,313.2
361,291.6
362,277.2
363,262.8
364,262.8
365,234.0
366,226.8
367,230.4
368,198.0
369,226.8
370,223.2
371,205.2
372,237.6
373,252.0
374,252.0
375,248.4
376,273.6
377,266.4
378,280.8
379,259.2
380,234.0
381,226.8
382,208.8
383,198.0
384,183.6
385,154.8
386,129.6
387,122.4
388,100.8
389,93.6
390,79.2
391,90.0
392,90.0
393,108.0
394,111.6
395,126.0
396,144.0
397,180.0
398,187.2
399,205.2
400,259.2
401,266.4
402,273.6
403,284.4
404,288.0
405,295.2
406,320.4
407,295.2
408,309.6
409,273.6
410,248.4
411,259.2
412,262.8
413,262.8
414,230.4
415,223.2
416,244.8
417,216.0
418,262.8
419,234.0
420,291.6
421,252.0
422,277.2
423,255.6
424,280.8
425,266.4
426,273.6
427,273.6
428,266.4
429,216.0
430,226.8
431,198.0
432,172.8
433,147.6
434,126.0
435,122.4
436,97.2
437,86.4
438,82.8
439,82.8
440,93.6
441,111.6
442,126.0
443,140.4
444,144.0
445,172.8
446,205.2
447,205.2
448,252.0
449,262.8
450,291.6
451,306.0
452,309.6
453,334.8
454,313.2
455,284.4
456,334.8
457,295.2
458,284.4
459,270.0
460,284.4
461,270.0
462,262.8
463,262.8
464,248.4
465,255.6
466,223.2
467,255.6
468,241.2
469,266.4
470,280.8
471,270.0
472,280.8
473,273.6
474,259.2
475,270.0
476,262.8
477,241.2
478,219.6
479,201.6
480,180.0
481,151.2
482,136.8
483,115.2
484,108.0
485,93.6
486,90.0
487,93.6
488,100.8
489,97.2
490,126.0
491,151.2
492,154.8
493,190.8
494,208.8
495,234.0
496,262.8
497,273.6
498,291.6
499,291.6
500,295.2
501,277.2
502,262.8
503,327.6
504,277.2
505,284.4
506,280.8
507,244.8
508,244.8
509,252.0
510,223.2
511,237.6
512,234.0
513,237.6
514,270.0
515,255.6
516,252.0
517,266.4
518,248.4
519,266.4
520,284.4
521,273.6
522,270.0
523,266.4
524,244.8
525,226.8
526,219.6
527,205.2
528,176.4
529,154.8
530,147.6
531,118.8
532,111.6
533,97.2
534,90.0
535,97.2
536,100.8
537,122.4
538,147.6
539,162.0
540,194.4
541,205.2
542,259.2
543,266.4
544,291.6
545,334.8
546,320.4
547,342.0
548,367.2
549,313.2
550,349.2
551,298.8
552,331.2
553,320.4
554,309.6
555,270.0
556,266.4
557,280.8
558,237.6
559,262.8
560,230.4
561,248.4
562,280.8
563,273.6
564,262.8
565,255.6
566,259.2
567,273.6
568,280.8
569,291.6
570,255.6
571,237.6
572,216.0
573,248.4
574,216.0
575,208.8
576,172.8
577,165.6
578,151.2
579,136.8
580,122.4
581,115.2
582,104.4
583,93.6
584,90.0
585,100.8
586,108.0
587,118.8
588,140.4
589,144.0
590,162.0
591,190.8
592,208.8
593,230.4
594,226.8
595,259.2
596,262.8
597,270.0
598,280.8
599,316.8
600,298.8
601,291.6
602,291.6
603,295.2
604,284.4
605,288.0
606,259.2
607,273.6
608,237.6
609,244.8
610,270.0
611,284.4
612,252.0
613,266.4
614,273.6
615,252.0
616,252.0
617,244.8
618,259.2
619,212.4
620,212.4
621,216.0
622,176.4
623,172.8
624,162.0
625,158.4
626,136.8
627,133.2
628,118.8
629,118.8
630,111.6
631,97.2
632,100.8
633,100.8
634,93.6
635,104.4
636,118.8
637,118.8
638,136.8
639,154.8
640,183.6
641,190.8
642,194.4
643,194.4
644,244.8
645,241.2
646,266.4
647,270.0
648,288.0
649,259.2
650,248.4
651,284.4
652,255.6
653,248.4
654,230.4
655,219.6
656,230.4
657,223.2
658,241.2
659,212.4
660,244.8
661,237.6
662,270.0
663,252.0
664,255.6
665,244.8
666,230.4
667,216.0
668,244.8
669,208.8
670,194.4
671,165.6
672,169.2
673,144.0
674,126.0
675,118.8
676,90.0
677,86.4
678,93.6
679,82.8
680,79.2
