Timestamp,Index,Link_16,Link_4,Link_5,Link_17,Link_29,Link_15,Link_7,Link_6,Link_14,Link_28,Link_10,Link_2,Link_3,Link_11,Link_13,Link_1,Link_12,Link_23,Link_22,Link_34,Link_20,Link_21,Link_31,Link_25,Link_19,Link_18,Link_24,Link_30,Link_26,Link_32,Link_8,Link_9,Link_33,Link_27
2017-01-01 00:00:00,1,72.0,1252.8,1123.2,-248.4,115.2,10.8,781.2,964.8,64.8,32.4,309.6,3236.4,1270.8,237.6,172.8,3384.0,144.0,914.4,90.0,208.8,1357.2,234.0,21.6,435.6,-478.8,-468.0,579.6,75.6,-194.4,-32.4,669.6,572.4,50.4,-39.6
2017-01-01 00:30:00,2,57.6,1112.4,1000.8,-223.2,100.8,18.0,676.8,846.0,64.8,28.8,270.0,2916.0,1126.8,201.6,165.6,3045.6,122.4,817.2,79.2,180.0,1209.6,212.4,25.2,396.0,-457.2,-446.4,532.8,61.2,-187.2,-25.2,586.8,504.0,43.2,-36.0
2017-01-01 01:00:00,3,54.0,1008.0,918.0,-201.6,93.6,3.6,637.2,781.2,43.2,14.4,252.0,2613.6,1022.4,187.2,154.8,2728.8,108.0,720.0,64.8,176.4,1069.2,194.4,21.6,367.2,-410.4,-403.2,475.2,61.2,-162.0,-21.6,554.4,471.6,39.6,-36.0
2017-01-01 01:30:00,4,50.4,907.2,824.4,-180.0,82.8,10.8,576.0,694.8,46.8,25.2,237.6,2358.0,918.0,180.0,136.8,2469.6,100.8,666.0,61.2,147.6,961.2,158.4,18.0,334.8,-374.4,-367.2,435.6,54.0,-158.4,-21.6,500.4,435.6,36.0,-39.6
2017-01-01 02:00:00,5,46.8,849.6,770.4,-162.0,79.2,3.6,536.4,662.4,39.6,21.6,219.6,2206.8,860.4,165.6,122.4,2300.4,93.6,626.4,57.6,147.6,907.2,158.4,18.0,302.4,-345.6,-338.4,392.4,50.4,-129.6,-18.0,468.0,396.0,32.4,-32.4
2017-01-01 02:30:00,6,46.8,828.0,756.0,-162.0,79.2,3.6,522.0,637.2,36.0,21.6,212.4,2120.4,838.8,154.8,118.8,2217.6,93.6,608.4,57.6,151.2,864.0,140.4,18.0,306.0,-324.0,-316.8,388.8,50.4,-133.2,-18.0,457.2,378.0,28.8,-28.8
2017-01-01 03:00:00,7,50.4,835.2,759.6,-158.4,75.6,3.6,529.2,637.2,39.6,25.2,219.6,2156.4,849.6,165.6,122.4,2250.0,97.2,608.4,54.0,147.6,878.4,147.6,21.6,316.8,-334.8,-327.6,399.6,50.4,-144.0,-14.4,464.4,388.8,25.2,-28.8
2017-01-01 03:30:00,8,46.8,874.8,795.6,-169.2,79.2,3.6,550.8,676.8,36.0,18.0,230.4,2250.0,885.6,169.2,126.0,2347.2,100.8,630.0,57.6,158.4,914.4,158.4,21.6,316.8,-349.2,-342.0,406.8,54.0,-136.8,-18.0,482.4,410.4,28.8,-32.4
2017-01-01 04:00:00,9,57.6,957.6,874.8,-187.2,86.4,3.6,604.8,745.2,43.2,25.2,252.0,2473.2,968.4,187.2,133.2,2584.8,108.0,691.2,68.4,158.4,1022.4,180.0,18.0,334.8,-363.6,-356.4,439.2,54.0,-147.6,-21.6,532.8,446.4,36.0,-36.0
2017-01-01 04:30:00,10,54.0,1051.2,954.0,-212.4,97.2,3.6,666.0,810.0,50.4,21.6,273.6,2707.2,1065.6,201.6,144.0,2818.8,115.2,738.0,75.6,172.8,1108.8,208.8,21.6,363.6,-403.2,-392.4,478.8,57.6,-158.4,-28.8,579.6,489.6,43.2,-43.2
