Timestamp,Index,Link_16,Link_4,Link_5,Link_17,Link_29,Link_15,Link_7,Link_6,Link_14,Link_28,Link_10,Link_2,Link_3,Link_11,Link_13,Link_1,Link_12,Link_23,Link_22,Link_34,Link_20,Link_21,Link_31,Link_25,Link_19,Link_18,Link_24,Link_30,Link_26,Link_32,Link_8,Link_9,Link_33,Link_27
2017-01-01 00:00:00,1,57.6,1314.0,1180.8,-205.2,126.0,32.4,748.8,1000.8,72.0,43.2,324.0,3160.8,1342.8,248.4,169.2,3315.6,162.0,813.6,82.8,165.6,1252.8,223.2,21.6,360.0,-435.6,-424.8,500.4,82.8,-165.6,-28.8,655.2,568.8,43.2,-21.6
2017-01-01 00:30:00,2,50.4,1195.2,1080.0,-190.8,115.2,25.2,705.6,928.8,64.8,28.8,288.0,2847.6,1213.2,216.0,169.2,2995.2,144.0,723.6,68.4,147.6,1094.4,190.8,18.0,324.0,-410.4,-403.2,460.8,72.0,-154.8,-25.2,608.4,529.2,39.6,-28.8
2017-01-01 01:00:00,3,46.8,1044.0,939.6,-158.4,100.8,21.6,615.6,806.4,57.6,28.8,259.2,2512.8,1065.6,201.6,144.0,2653.2,136.8,633.6,61.2,129.6,964.8,165.6,18.0,284.4,-360.0,-352.8,406.8,61.2,-136.8,-18.0,529.2,471.6,28.8,-21.6
2017-01-01 01:30:00,4,43.2,997.2,896.4,-147.6,86.4,21.6,579.6,777.6,50.4,25.2,244.8,2354.4,1011.6,187.2,126.0,2476.8,129.6,576.0,57.6,104.4,896.4,154.8,18.0,259.2,-342.0,-334.8,367.2,50.4,-133.2,-14.4,504.0,435.6,25.2,-25.2
2017-01-01 02:00:00,5,39.6,903.6,820.8,-133.2,82.8,10.8,522.0,712.8,39.6,21.6,216.0,2145.6,918.0,162.0,122.4,2257.2,108.0,529.2,54.0,104.4,813.6,136.8,14.4,237.6,-306.0,-298.8,338.4,50.4,-111.6,-10.8,450.0,392.4,21.6,-21.6
2017-01-01 02:30:00,6,36.0,864.0,781.2,-129.6,75.6,10.8,489.6,676.8,36.0,14.4,187.2,2034.0,878.4,140.4,118.8,2142.0,97.2,496.8,46.8,104.4,759.6,126.0,18.0,226.8,-298.8,-291.6,313.2,46.8,-104.4,-10.8,417.6,360.0,21.6,-25.2
2017-01-01 03:00:00,7,28.8,867.6,788.4,-133.2,79.2,18.0,504.0,680.4,43.2,14.4,201.6,2066.4,885.6,154.8,115.2,2192.4,100.8,514.8,50.4,104.4,766.8,122.4,14.4,226.8,-320.4,-313.2,320.4,50.4,-104.4,-10.8,432.0,374.4,21.6,-25.2
2017-01-01 03:30:00,8,36.0,918.0,824.4,-136.8,82.8,14.4,507.6,705.6,43.2,18.0,198.0,2178.0,936.0,151.2,122.4,2289.6,97.2,536.4,50.4,111.6,813.6,133.2,14.4,244.8,-327.6,-320.4,334.8,54.0,-111.6,-14.4,435.6,381.6,25.2,-25.2
2017-01-01 04:00:00,9,43.2,1011.6,910.8,-154.8,93.6,18.0,572.4,784.8,50.4,21.6,237.6,2397.6,1029.6,176.4,133.2,2523.6,111.6,601.2,54.0,129.6,903.6,154.8,18.0,273.6,-345.6,-338.4,378.0,57.6,-126.0,-14.4,493.2,435.6,25.2,-25.2
2017-01-01 04:30:00,10,46.8,1144.8,1033.2,-172.8,108.0,14.4,666.0,885.6,50.4,21.6,284.4,2682.0,1166.4,216.0,151.2,2826.0,144.0,673.2,64.8,151.2,1022.4,180.0,18.0,302.4,-381.6,-374.4,421.2,68.4,-129.6,-25.2,583.2,511.2,36.0,-25.2
2017-01-01 05:00:00,11,61.2,1296.0,1170.0,-198.0,122.4,21.6,741.6,1004.4,64.8,36.0,306.0,3063.6,1321.2,230.4,169.2,3218.4,151.2,774.0,68.4,176.4,1180.8,212.4,25.2,363.6,-417.6,-406.8,489.6,79.2,-162.0,-25.2,648.0,565.2,43.2,-25.2
2017-01-01 05:30:00,12,68.4,1443.6,1303.2,-219.6,144.0,32.4,849.6,1112.4,82.8,46.8,352.8,3510.0,1468.8,262.8,201.6,3672.0,169.2,910.8,82.8,208.8,1386.0,237.6,28.8,417.6,-500.4,-486.0,568.8,93.6,-176.4,-32.4,745.2,648.0,50.4,-25.2
2017-01-01 06:00:00,13,64.8,1634.4,1490.4,-262.8,165.6,39.6,964.8,1256.4,97.2,43.2,414.0,3963.6,1659.6,302.4,223.2,4150.8,198.0,1015.2,108.0,237.6,1551.6,288.0,28.8,468.0,-568.8,-554.4,633.6,108.0,-194.4,-43.2,849.6,745.2,64.8,-32.4
2017-01-01 06:30:00,14,82.8,1839.6,1652.4,-280.8,183.6,43.2,1098.0,1418.4,104.4,57.6,475.2,4435.2,1868.4,356.4,244.8,4658.4,252.0,1144.8,118.8,262.8,1738.8,334.8,36.0,529.2,-633.6,-619.2,723.6,118.8,-226.8,-43.2,975.6,846.0,68.4,-28.8
2017-01-01 07:00:00,15,108.0,2066.4,1872.0,-309.6,205.2,39.6,1224.0,1598.4,104.4,68.4,522.0,4975.2,2098.8,392.4,280.8,5184.0,255.6,1314.0,118.8,288.0,1994.4,381.6,36.0,583.2,-666.0,-648.0,795.6,136.8,-252.0,-57.6,1083.6,946.8,86.4,-21.6
2017-01-01 07:30:00,16,111.6,2289.6,2077.2,-356.4,237.6,50.4,1332.0,1771.2,140.4,68.4,572.4,5497.2,2329.2,424.8,320.4,5742.0,270.0,1432.8,133.2,334.8,2152.8,378.0,43.2,676.8,-774.0,-756.0,907.2,154.8,-295.2,-64.8,1188.0,1047.6,93.6,-32.4
2017-01-01 08:00:00,17,122.4,2401.2,2203.2,-378.0,255.6,61.2,1458.0,1879.2,144.0,86.4,626.4,5846.4,2437.2,460.8,342.0,6105.6,298.8,1566.0,136.8,356.4,2332.8,417.6,43.2,720.0,-806.4,-788.4,979.2,169.2,-309.6,-57.6,1288.8,1119.6,97.2,-21.6
2017-01-01 08:30:00,18,118.8,2628.0,2368.8,-414.0,280.8,64.8,1587.6,2041.2,158.4,86.4,684.0,6440.4,2667.6,496.8,363.6,6714.0,316.8,1659.6,162.0,385.2,2574.0,482.4,39.6,766.8,-914.4,-892.8,1033.2,172.8,-327.6,-79.2,1400.4,1209.6,111.6,-32.4
2017-01-01 09:00:00,19,136.8,2746.8,2476.8,-417.6,284.4,54.0,1587.6,2106.0,151.2,93.6,666.0,6627.6,2786.4,493.2,378.0,6904.8,313.2,1735.2,165.6,396.0,2646.0,457.2,50.4,788.4,-903.6,-882.0,1083.6,180.0,-327.6,-82.8,1404.0,1216.8,118.8,-28.8
2017-01-01 09:30:00,20,129.6,2728.8,2458.8,-421.2,295.2,61.2,1641.6,2120.4,162.0,86.4,712.8,6681.6,2772.0,529.2,385.2,6958.8,324.0,1738.8,165.6,403.2,2682.0,518.4,36.0,784.8,-943.2,-921.6,1065.6,187.2,-324.0,-90.0,1458.0,1270.8,129.6,-39.6
2017-01-01 10:00:00,21,144.0,2761.2,2487.6,-432.0,306.0,79.2,1645.2,2088.0,176.4,115.2,676.8,6814.8,2804.4,489.6,399.6,7117.2,302.4,1828.8,158.4,421.2,2790.0,482.4,46.8,853.2,-939.6,-918.0,1137.6,190.8,-370.8,-86.4,1450.8,1252.8,126.0,-18.0
